client_id,total_properties_owned,total_investment_value,average_property_value,average_floor_area,age,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,cluster,buyer_segment
C0508,3,833710.06,277903.35333333333,900.6166666666667,56.0,Individual,F,Usa,Nevada,Home,No,Agency,5.0,1,Corporate Investors
C0509,4,1687930.25,421982.5625,1333.2775,70.0,Individual,M,Belgium,Wallonia,Home,No,Website,3.0,2,Global Investors
C0513,3,974596.63,324865.54333333333,1049.513333333333,27.0,Individual,M,Usa,Florida,Home,Yes,Agency,2.0,1,Corporate Investors
C0515,4,1561824.93,390456.2325,1342.7925,63.0,Individual,F,Usa,California,Home,Yes,Website,1.0,2,Global Investors
C0519,3,981719.26,327239.75333333336,1108.996666666667,51.0,Individual,F,Usa,Arizona,Investment,No,Agency,3.0,1,Corporate Investors
C0520,3,1033523.16,344507.72000000003,1108.996666666667,56.0,Individual,F,Usa,Oregon,Home,Yes,Agency,3.0,1,Corporate Investors
C0521,4,1074306.5,268576.625,872.6800000000001,59.0,Individual,F,Canada,British Columbia,Home,No,Website,3.0,1,Corporate Investors
C0525,4,1629457.52,407364.38,1299.3275,76.0,Individual,M,Usa,Arizona,Home,Yes,Agency,4.0,2,Global Investors
C0528,3,1118472.87,372824.29,1206.2733333333333,26.0,Individual,M,Usa,Washington,Investment,No,Client,2.0,1,Corporate Investors
C0530,4,1559124.69,389781.1725,1246.7075,74.0,Individual,F,Usa,Utah,Home,Yes,Agency,2.0,2,Global Investors
C0532,4,1075202.77,268800.6925,990.9875,47.0,Individual,F,Belgium,Flanders,Home,No,Website,2.0,1,Corporate Investors
C0533,4,990028.19,247507.0475,787.46,63.0,Individual,M,Usa,Nevada,Investment,No,Agency,1.0,1,Corporate Investors
C0545,3,1260126.39,420042.13,1452.263333333333,84.0,Individual,M,Usa,Colorado,Home,Yes,Agency,1.0,2,Global Investors
C0548,3,1047476.93,349158.9766666666,1186.4366666666667,46.0,Individual,M,Usa,California,Home,No,Agency,2.0,1,Corporate Investors
C0550,4,1414568.09,353642.0225,1123.6174999999998,59.0,Company,F,Usa,Nevada,Home,No,Agency,1.0,2,Global Investors
C0564,3,1135017.6,378339.2,1250.3066666666666,74.0,Individual,M,Usa,Texas,Home,No,Agency,1.0,2,Global Investors
C0566,4,1167701.9,291925.475,965.295,26.0,Individual,F,Usa,Oregon,Investment,Yes,Agency,4.0,1,Corporate Investors
C0567,4,1869286.1,467321.525,1546.3875,73.0,Individual,F,Russia,Saint Petersburg,Investment,Yes,Agency,2.0,2,Global Investors
C0568,3,944335.88,314778.62666666665,1015.94,73.0,Individual,M,Usa,California,Home,No,Website,3.0,1,Corporate Investors
C0569,3,1384749.3,461583.1,1460.493333333333,55.0,Individual,F,Usa,California,Home,Yes,Client,5.0,2,Global Investors
C0570,4,1527210.47,381802.6175,1310.8225,61.0,Individual,F,France,Occitanie,Home,Yes,Website,5.0,2,Global Investors
C0571,4,1549969.49,387492.3725,1458.93,60.0,Individual,M,Usa,California,Home,No,Website,3.0,2,Global Investors
C0572,4,1519677.44,379919.36,1228.8325,33.0,Individual,F,Usa,California,Investment,No,Website,5.0,2,Global Investors
C0579,3,1198428.64,399476.2133333334,1299.5366666666666,85.0,Individual,M,Usa,Texas,Investment,No,Website,3.0,2,Global Investors
C0580,4,2158954.7800000003,539738.6950000001,1726.0575,78.0,Individual,F,Usa,California,Home,Yes,Client,2.0,2,Global Investors
C0582,3,708559.1499999999,236186.3833333333,791.0400000000001,86.0,Individual,F,Usa,Washington,Investment,Yes,Website,3.0,1,Corporate Investors
C0584,3,1135691.62,378563.87333333335,1350.9733333333334,44.0,Individual,F,Usa,California,Home,No,Website,5.0,2,Global Investors
C0585,4,1003690.18,250922.545,886.4275,65.0,Individual,M,Usa,Colorado,Home,No,Agency,3.0,1,Corporate Investors
C0591,3,1336217.65,445405.8833333333,1460.493333333333,58.0,Individual,F,Usa,Nevada,Home,No,Website,1.0,2,Global Investors
C0592,3,787516.58,262505.5266666667,851.4266666666667,54.0,Individual,M,Usa,Arizona,Investment,No,Client,2.0,1,Corporate Investors
C0593,4,2012063.38,503015.845,1575.1075,74.0,Individual,F,Usa,California,Home,Yes,Agency,2.0,2,Global Investors
C0594,3,1137572.87,379190.9566666667,1221.6766666666665,84.0,Individual,F,Usa,Utah,Home,No,Agency,1.0,2,Global Investors
C0595,3,914304.97,304768.3233333333,934.4333333333334,60.0,Individual,F,Usa,Utah,Home,No,Agency,3.0,1,Corporate Investors
C0603,4,1218095.3,304523.825,1027.81,32.0,Individual,F,Usa,New York,Home,Yes,Agency,4.0,1,Corporate Investors
C0610,3,1178597.68,392865.8933333333,1339.73,56.0,Individual,F,Usa,California,Investment,No,Website,4.0,2,Global Investors
C0611,4,1142671.94,285667.985,997.415,76.0,Individual,M,Usa,California,Home,No,Agency,4.0,1,Corporate Investors
C0613,3,1186019.52,395339.84,1366.5633333333335,31.0,Individual,F,Australia,Victoria,Home,No,Agency,4.0,2,Global Investors
C0614,4,1025958.38,256489.595,858.9825,54.0,Individual,M,Uk,Wales,Home,Yes,Website,3.0,1,Corporate Investors
C0615,4,919002.01,229750.5025,748.33,69.0,Individual,M,Usa,Utah,Home,Yes,Website,2.0,1,Corporate Investors
C0617,3,766861.21,255620.4033333333,849.6366666666667,40.0,Individual,F,Usa,Ohio,Home,Yes,Website,5.0,1,Corporate Investors
C0618,3,982803.0,327601.0,1113.29,58.0,Individual,M,Usa,Texas,Home,No,Agency,3.0,1,Corporate Investors
C0622,3,869334.73,289778.24333333335,980.87,39.0,Individual,F,Usa,Washington,Investment,No,Client,2.0,1,Corporate Investors
C0624,3,1215611.54,405203.8466666667,1413.8666666666668,26.0,Individual,M,Usa,Nevada,Investment,No,Agency,3.0,2,Global Investors
C0625,4,1000166.88,250041.72,851.0225,43.0,Individual,F,Belgium,Flanders,Investment,Yes,Agency,2.0,1,Corporate Investors
C0627,4,1870806.42,467701.605,1726.0575,26.0,Individual,F,Usa,Arizona,Home,No,Agency,3.0,2,Global Investors
C0629,3,961721.77,320573.92333333334,1129.1766666666665,80.0,Individual,F,Usa,California,Investment,No,Agency,2.0,1,Corporate Investors
C0631,4,1534891.22,383722.805,1227.645,60.0,Individual,F,Usa,California,Home,No,Website,5.0,2,Global Investors
C0633,4,1207516.26,301879.065,928.745,85.0,Individual,F,Usa,Nevada,Home,No,Agency,3.0,1,Corporate Investors
C0636,4,981810.08,245452.52,827.3575000000001,46.0,Individual,F,France,Brittany,Home,No,Website,5.0,1,Corporate Investors
C0638,4,1347045.42,336761.355,1204.4975,51.0,Individual,M,Usa,Ohio,Home,Yes,Website,5.0,2,Global Investors
C0639,3,861670.72,287223.5733333333,1008.13,65.0,Individual,M,Uk,Scotland,Home,Yes,Website,3.0,1,Corporate Investors
C0640,3,772950.1699999999,257650.05666666664,915.6366666666668,59.0,Individual,F,Usa,Utah,Home,No,Agency,3.0,1,Corporate Investors
C0643,3,928645.01,309548.33666666667,1016.5033333333334,52.0,Individual,F,Usa,California,Home,No,Website,5.0,1,Corporate Investors
C0647,4,2115520.42,528880.105,1676.3825,80.0,Individual,F,Usa,California,Home,No,Agency,4.0,2,Global Investors
C0648,4,1142985.38,285746.345,984.6475,27.0,Individual,F,Usa,California,Home,Yes,Website,1.0,1,Corporate Investors
C0649,4,1401448.51,350362.1275,1136.6925,31.0,Individual,F,Usa,California,Home,No,Agency,4.0,2,Global Investors
C0652,3,904157.22,301385.74,985.5433333333334,33.0,Individual,F,Usa,Washington,Home,No,Website,2.0,1,Corporate Investors
C0654,3,865293.89,288431.2966666667,1015.94,66.0,Individual,M,Usa,New York,Home,Yes,Website,2.0,1,Corporate Investors
C0656,4,1288383.38,322095.845,1190.4075,49.0,Individual,F,Usa,Colorado,Home,No,Client,5.0,1,Corporate Investors
C0659,4,1000550.86,250137.715,832.615,38.0,Individual,F,Usa,California,Home,Yes,Agency,4.0,1,Corporate Investors
C0660,3,1148308.35,382769.45,1337.0533333333333,35.0,Individual,M,Usa,Arizona,Home,Yes,Client,4.0,2,Global Investors
C0663,4,1544313.34,386078.335,1234.8075,68.0,Individual,M,Usa,California,Home,Yes,Agency,2.0,2,Global Investors
C0666,4,1532074.27,383018.5675,1271.345,78.0,Individual,F,Usa,California,Investment,No,Website,1.0,2,Global Investors
C0667,4,1486560.06,371640.015,1295.265,60.0,Individual,M,Usa,Arizona,Investment,No,Agency,2.0,2,Global Investors
C0671,3,759678.12,253226.04,849.6366666666667,85.0,Individual,M,Usa,Colorado,Home,Yes,Client,4.0,1,Corporate Investors
C0672,3,1301968.05,433989.35,1452.263333333333,59.0,Individual,F,Usa,California,Home,No,Website,2.0,2,Global Investors
C0676,3,1022396.03,340798.6766666667,989.0566666666668,84.0,Individual,F,Usa,Nevada,Home,No,Agency,2.0,1,Corporate Investors
C0677,4,1217015.11,304253.7775,1024.3375,45.0,Individual,M,Usa,Arizona,Investment,No,Agency,2.0,1,Corporate Investors
C0679,4,1945371.68,486342.92,1726.0575,62.0,Individual,F,Usa,Nevada,Home,No,Agency,1.0,2,Global Investors
C0682,4,1436006.22,359001.555,1214.5625,53.0,Individual,M,Usa,California,Home,No,Website,5.0,2,Global Investors
C0684,4,1402625.45,350656.3625,1120.62,41.0,Individual,M,Usa,California,Home,No,Agency,1.0,2,Global Investors
C0687,4,1532604.0,383151.0,1210.7375000000002,67.0,Individual,F,Usa,Utah,Home,Yes,Website,3.0,2,Global Investors
C0688,4,1093762.42,273440.605,868.5725,58.0,Individual,F,Usa,Colorado,Investment,Yes,Website,5.0,1,Corporate Investors
C0690,4,1402023.24,350505.81,1150.3275,41.0,Individual,F,Usa,Oregon,Home,Yes,Agency,4.0,2,Global Investors
C0696,4,1417025.49,354256.3725,1246.6175,32.0,Individual,F,Usa,Washington,Investment,Yes,Agency,5.0,2,Global Investors
C0697,4,1203571.2,300892.8,1036.6525,40.0,Individual,M,Usa,California,Investment,Yes,Agency,4.0,1,Corporate Investors
C0709,4,1233960.52,308490.13,1009.23,44.0,Individual,F,Usa,Georgia,Home,Yes,Agency,2.0,1,Corporate Investors
C0714,3,1520218.18,506739.3933333333,1680.5266666666666,49.0,Individual,M,Russia,Saint Petersburg,Home,No,Website,3.0,2,Global Investors
C0715,3,1151372.75,383790.9166666667,1340.7666666666669,44.0,Individual,F,Usa,Utah,Home,No,Website,3.0,2,Global Investors
C0717,3,1000529.67,333509.89,1156.5633333333333,80.0,Individual,F,Usa,Arizona,Investment,Yes,Agency,3.0,1,Corporate Investors
C0718,3,900157.9099999999,300052.63666666666,1123.8033333333333,82.0,Individual,F,France,Ile-De-France,Home,Yes,Website,2.0,1,Corporate Investors
C0719,3,912916.77,304305.59,1023.88,52.0,Individual,M,Usa,California,Investment,Yes,Agency,2.0,1,Corporate Investors
C0721,4,1167212.02,291803.005,939.4875,27.0,Individual,F,Usa,Florida,Home,No,Website,4.0,1,Corporate Investors
C0722,3,936104.05,312034.68333333335,1033.4833333333331,83.0,Individual,F,Usa,Texas,Home,No,Website,1.0,1,Corporate Investors
C0725,3,1557779.53,519259.8433333333,1733.68,43.0,Individual,F,Usa,New York,Home,No,Website,3.0,2,Global Investors
C0729,3,1100578.42,366859.4733333333,1280.28,82.0,Individual,M,Usa,Washington,Investment,Yes,Agency,3.0,1,Corporate Investors
C0730,3,1395460.54,465153.51333333337,1435.6633333333332,38.0,Individual,M,Usa,California,Investment,No,Website,4.0,2,Global Investors
C0732,4,1763602.47,440900.6175,1454.35,41.0,Individual,M,Usa,Oregon,Home,No,Website,5.0,2,Global Investors
C0733,3,1610480.1,536826.7000000001,1609.0333333333335,50.0,Individual,F,Usa,Nevada,Home,No,Agency,5.0,2,Global Investors
C0735,3,1082670.51,360890.17,1129.1766666666665,32.0,Individual,M,Germany,Hesse,Investment,No,Website,4.0,1,Corporate Investors
C0740,3,1150084.72,383361.5733333333,1176.236666666667,60.0,Individual,F,Usa,Utah,Investment,No,Client,1.0,1,Corporate Investors
C0741,3,808100.3,269366.76666666666,952.0733333333334,64.0,Individual,F,Usa,California,Home,No,Website,2.0,1,Corporate Investors
C0743,3,973707.31,324569.10333333333,1145.4666666666665,54.0,Individual,M,Usa,Oregon,Investment,Yes,Website,4.0,1,Corporate Investors
C0744,3,947393.7,315797.9,939.33,76.0,Individual,F,Usa,Virginia,Home,No,Website,1.0,1,Corporate Investors
C0748,3,1188736.23,396245.41,1332.34,52.0,Company,F,Usa,California,Home,Yes,Client,1.0,2,Global Investors
C0750,3,887696.78,295898.9266666667,964.2666666666664,50.0,Individual,F,Usa,Nevada,Investment,No,Agency,1.0,1,Corporate Investors
C0757,4,1392690.12,348172.53,1053.27,80.0,Individual,M,Usa,Oregon,Home,Yes,Website,3.0,2,Global Investors
C0758,4,1135189.16,283797.29,928.1775,68.0,Individual,M,Usa,California,Investment,No,Website,2.0,1,Corporate Investors
C0762,4,1456185.33,364046.3325,1313.38,59.0,Individual,F,Usa,Ohio,Home,No,Website,4.0,2,Global Investors
C0764,4,1670624.74,417656.185,1441.655,43.0,Individual,F,Uk,Northern Ireland,Investment,No,Client,4.0,2,Global Investors
C0766,4,1601876.14,400469.035,1286.2725,32.0,Individual,M,Germany,North Rhine-Westphalia,Home,Yes,Client,3.0,2,Global Investors
C0767,4,1403932.48,350983.12,1242.0825,65.0,Individual,M,Canada,British Columbia,Investment,No,Agency,2.0,2,Global Investors
C0770,3,984598.73,328199.57666666666,1104.51,75.0,Individual,F,Russia,Krasnodar Krai,Home,No,Website,4.0,1,Corporate Investors
C0771,4,1856997.08,464249.27,1408.3275,42.0,Company,M,Usa,California,Home,No,Website,1.0,2,Global Investors
C0773,4,1451465.46,362866.365,1153.0825,62.0,Individual,M,Russia,Saint Petersburg,Home,No,Website,1.0,2,Global Investors
C0776,3,914465.33,304821.7766666667,980.87,60.0,Individual,F,Germany,Bavaria,Home,Yes,Agency,4.0,1,Corporate Investors
C0779,3,1221957.12,407319.04,1325.0800000000002,73.0,Individual,F,Usa,California,Home,Yes,Agency,5.0,2,Global Investors
C0780,3,708761.6900000001,236253.8966666667,849.6366666666667,79.0,Individual,F,Usa,California,Home,No,Website,3.0,1,Corporate Investors
C0782,4,1166638.16,291659.54000000004,905.0375,56.0,Individual,M,Usa,Utah,Investment,Yes,Website,2.0,1,Corporate Investors
C0789,3,1125271.6,375090.5333333334,1228.91,52.0,Individual,F,Canada,Ontario,Investment,No,Website,1.0,1,Corporate Investors
C0791,4,1424465.81,356116.4525,1159.9675,43.0,Individual,M,Usa,Texas,Home,No,Website,4.0,2,Global Investors
C0793,4,1245234.35,311308.5875,1048.44,57.0,Individual,M,Usa,New York,Home,No,Agency,4.0,1,Corporate Investors
C0794,3,1120488.77,373496.25666666665,1308.513333333333,75.0,Individual,M,Usa,California,Home,Yes,Website,4.0,2,Global Investors
C0796,3,559596.54,186532.18,607.4466666666667,43.0,Individual,F,Usa,California,Investment,Yes,Website,5.0,1,Corporate Investors
C0797,3,881179.3,293726.43333333335,851.8699999999999,36.0,Individual,F,Usa,Oregon,Home,Yes,Agency,5.0,1,Corporate Investors
C0800,3,983573.18,327857.7266666666,1151.5466666666666,52.0,Individual,M,Usa,Virginia,Investment,Yes,Website,5.0,1,Corporate Investors
C0801,3,1361712.2999999998,453904.0999999999,1435.6633333333332,57.0,Individual,F,Usa,Washington,Home,Yes,Website,4.0,2,Global Investors
C0802,3,1074480.81,358160.27,1217.58,56.0,Individual,M,Usa,Virginia,Home,No,Agency,5.0,1,Corporate Investors
C0804,3,1223755.92,407918.64,1464.8466666666666,59.0,Individual,M,Usa,Washington,Home,No,Agency,5.0,2,Global Investors
C0813,4,1314024.52,328506.13,1099.4925,52.0,Individual,M,Uk,Scotland,Investment,No,Agency,3.0,1,Corporate Investors
C0815,3,962374.65,320791.55,1205.9633333333334,61.0,Company,F,Usa,Nevada,Home,Yes,Agency,4.0,1,Corporate Investors
C0817,3,1338281.0,446093.6666666667,1448.82,54.0,Individual,F,Usa,California,Investment,No,Website,1.0,2,Global Investors
C0818,4,760443.3500000001,190110.8375,677.79,35.0,Company,F,Usa,Colorado,Home,No,Website,2.0,1,Corporate Investors
C0821,3,1371213.26,457071.0866666666,1467.89,69.0,Individual,F,Usa,California,Home,Yes,Agency,5.0,2,Global Investors
C0824,3,1234378.85,411459.6166666667,1435.6633333333332,50.0,Individual,M,Usa,California,Home,No,Agency,3.0,2,Global Investors
C0826,4,1255265.82,313816.455,996.1925,56.0,Individual,M,Usa,Ohio,Investment,Yes,Website,4.0,1,Corporate Investors
C0828,4,1313574.2,328393.55,1122.0925,79.0,Individual,F,Usa,Arizona,Investment,Yes,Website,4.0,1,Corporate Investors
C0832,3,1290741.99,430247.33,1336.61,36.0,Individual,F,Usa,Nevada,Investment,Yes,Website,3.0,2,Global Investors
C0833,3,1422486.61,474162.2033333333,1623.3,75.0,Individual,M,Denmark,Southern Denmark,Home,No,Website,5.0,2,Global Investors
C0835,4,1159317.69,289829.4225,941.61,52.0,Individual,F,Usa,California,Home,Yes,Website,5.0,1,Corporate Investors
C0836,3,1280715.29,426905.0966666667,1493.243333333333,84.0,Individual,M,Usa,Ohio,Home,No,Website,4.0,2,Global Investors
C0837,4,1415445.71,353861.4275,1253.3075,59.0,Individual,M,France,Brittany,Home,No,Website,1.0,2,Global Investors
C0838,3,837604.3,279201.43333333335,853.8133333333334,34.0,Individual,M,Usa,Nevada,Investment,Yes,Website,1.0,1,Corporate Investors
C0840,4,1508352.25,377088.0625,1329.5925,45.0,Individual,F,Belgium,Brussels,Home,No,Website,1.0,2,Global Investors
C0841,4,1344816.1,336204.025,1167.105,27.0,Individual,M,Belgium,Wallonia,Home,No,Website,5.0,2,Global Investors
C0843,3,1377127.37,459042.4566666667,1500.72,26.0,Individual,F,Usa,Georgia,Home,No,Agency,4.0,2,Global Investors
C0845,3,1355270.16,451756.72,1471.4466666666667,33.0,Individual,F,Usa,Washington,Home,No,Client,3.0,2,Global Investors
C0849,4,1262931.66,315732.915,995.0275,49.0,Individual,M,Usa,Oregon,Home,Yes,Website,1.0,1,Corporate Investors
C0853,4,1293562.22,323390.555,1092.085,76.0,Individual,M,Usa,Utah,Home,No,Website,4.0,1,Corporate Investors
C0855,4,1198702.15,299675.5375,1114.2125,53.0,Individual,F,Australia,Queensland,Home,No,Website,4.0,1,Corporate Investors
C0857,4,1431064.56,357766.14,1146.2825,75.0,Individual,F,Usa,California,Investment,Yes,Website,1.0,2,Global Investors
C0858,3,972150.6,324050.2,1156.5633333333333,32.0,Individual,M,Usa,Nevada,Home,No,Website,1.0,1,Corporate Investors
C0859,4,1440623.89,360155.97250000003,1154.105,84.0,Individual,F,Usa,California,Home,Yes,Agency,2.0,2,Global Investors
C0860,4,1362579.84,340644.96,1148.025,58.0,Individual,F,Usa,Utah,Home,Yes,Website,5.0,2,Global Investors
C0861,3,1527460.57,509153.5233333334,1635.6233333333332,32.0,Individual,F,France,Brittany,Investment,No,Agency,2.0,2,Global Investors
C0864,3,1085548.02,361849.34,1156.5633333333333,56.0,Individual,M,Usa,Texas,Home,No,Website,3.0,1,Corporate Investors
C0867,3,1028747.3,342915.76666666666,1146.263333333333,59.0,Individual,F,Usa,California,Home,No,Agency,2.0,1,Corporate Investors
C0869,3,858807.13,286269.04333333333,1012.96,33.0,Individual,M,Usa,California,Home,No,Agency,4.0,1,Corporate Investors
C0870,4,1097902.26,274475.565,909.9825,60.0,Company,F,Uk,Northern Ireland,Home,Yes,Website,2.0,1,Corporate Investors
C0873,3,1325777.78,441925.9266666667,1463.22,86.0,Individual,M,Usa,New York,Home,No,Website,2.0,2,Global Investors
C0875,3,1308981.48,436327.16,1370.5533333333333,54.0,Individual,M,Canada,Manitoba,Home,No,Website,4.0,2,Global Investors
C0882,3,1142828.14,380942.7133333334,1435.6633333333332,26.0,Individual,M,Uk,Wales,Home,No,Website,3.0,2,Global Investors
C0884,3,1021697.5,340565.8333333333,1209.64,77.0,Individual,M,Usa,Nevada,Home,No,Website,2.0,1,Corporate Investors
C0892,3,984121.4,328040.4666666666,1167.24,68.0,Individual,F,Usa,California,Investment,Yes,Website,2.0,1,Corporate Investors
C0896,4,1157933.44,289483.36,935.765,56.0,Individual,M,France,Brittany,Home,Yes,Agency,4.0,1,Corporate Investors
C0897,3,745691.65,248563.88333333333,801.46,55.0,Individual,F,Australia,Victoria,Home,No,Website,1.0,1,Corporate Investors
C0902,4,1281064.76,320266.19,1068.57,62.0,Company,F,Uk,Northern Ireland,Home,Yes,Agency,3.0,1,Corporate Investors
C0904,4,1050355.29,262588.8225,883.805,42.0,Individual,F,Russia,Saint Petersburg,Home,Yes,Website,1.0,1,Corporate Investors
C0909,4,1529455.73,382363.9325,1183.04,59.0,Individual,M,Usa,California,Investment,Yes,Agency,1.0,2,Global Investors
C0912,3,1322130.05,440710.01666666666,1351.4633333333334,77.0,Individual,F,Usa,California,Home,No,Agency,1.0,2,Global Investors
C0914,4,1124290.78,281072.695,984.6475,78.0,Individual,F,France,Provence,Investment,No,Website,4.0,1,Corporate Investors
C0916,4,1377591.46,344397.865,1114.105,38.0,Individual,M,Russia,Moscow Oblast,Home,No,Website,2.0,2,Global Investors
C0917,3,756785.49,252261.83,851.4266666666667,57.0,Individual,M,Usa,Arizona,Home,Yes,Agency,2.0,1,Corporate Investors
C0920,3,878368.79,292789.5966666667,934.4333333333334,53.0,Individual,M,Usa,California,Home,No,Website,4.0,1,Corporate Investors
C0921,3,802736.76,267578.92,900.46,27.0,Individual,F,Australia,New South Wales,Home,No,Agency,4.0,1,Corporate Investors
C0925,3,1308035.02,436011.6733333333,1471.9,82.0,Individual,M,Germany,Hamburg,Home,No,Website,2.0,2,Global Investors
C0926,3,1078841.73,359613.91,1207.6466666666668,65.0,Individual,F,Usa,California,Home,No,Website,3.0,1,Corporate Investors
C0927,3,933499.38,311166.46,952.2633333333332,64.0,Individual,F,France,Ile-De-France,Home,No,Client,4.0,1,Corporate Investors
C0933,3,1077170.94,359056.98,1155.4633333333334,71.0,Individual,F,Usa,California,Home,No,Website,4.0,1,Corporate Investors
C0934,3,912489.59,304163.1966666667,1086.9833333333331,83.0,Individual,F,Uk,Northern Ireland,Investment,Yes,Website,5.0,1,Corporate Investors
C0936,3,782945.97,260981.99,879.3433333333332,75.0,Individual,F,Usa,California,Home,No,Client,3.0,1,Corporate Investors
C0937,4,1370340.91,342585.22750000004,1127.3175,44.0,Individual,M,Usa,Arizona,Home,No,Client,5.0,2,Global Investors
C0938,3,854217.7,284739.23333333334,851.87,63.0,Individual,M,Russia,Krasnodar Krai,Home,No,Website,4.0,1,Corporate Investors
C0939,4,1190833.68,297708.42,996.3625,48.0,Individual,F,Belgium,Brussels,Investment,No,Website,1.0,1,Corporate Investors
C0945,3,973406.55,324468.85000000003,1102.8633333333337,81.0,Individual,F,France,Provence,Home,No,Website,4.0,1,Corporate Investors
C0946,3,827605.63,275868.54333333333,897.3100000000001,80.0,Individual,F,Usa,Nevada,Investment,Yes,Agency,3.0,1,Corporate Investors
C0950,4,1418212.48,354553.12,1146.9925,35.0,Individual,F,Usa,Texas,Investment,No,Website,5.0,2,Global Investors
C0952,4,1886501.93,471625.4825,1510.65,67.0,Individual,F,Usa,Oregon,Home,No,Website,5.0,2,Global Investors
C0954,4,1493788.0,373447.0,1204.4975,76.0,Individual,M,France,Brittany,Investment,Yes,Agency,4.0,2,Global Investors
C0955,3,1098111.78,366037.26,1205.9633333333334,57.0,Individual,F,Usa,California,Home,No,Website,1.0,1,Corporate Investors
C0956,4,1647197.45,411799.3625,1294.645,60.0,Individual,M,Usa,California,Home,Yes,Website,1.0,2,Global Investors
C0958,4,936091.45,234022.8625,834.6575,35.0,Individual,F,Usa,Nevada,Home,Yes,Website,1.0,1,Corporate Investors
C0960,4,1380084.58,345021.145,1148.2475,66.0,Individual,F,Usa,Arizona,Investment,Yes,Client,1.0,1,Corporate Investors
C0961,4,1681311.67,420327.9175,1271.345,52.0,Individual,M,Uk,Wales,Home,Yes,Website,2.0,2,Global Investors
C0963,3,598874.99,199624.99666666667,678.9699999999999,85.0,Individual,M,Canada,Alberta,Home,No,Agency,4.0,1,Corporate Investors
C0966,4,1606785.0499999998,401696.2625,1510.34,31.0,Company,M,Usa,California,Investment,No,Website,3.0,2,Global Investors
C0970,4,1596404.25,399101.0625,1313.38,40.0,Individual,M,Denmark,North Denmark,Home,Yes,Website,3.0,2,Global Investors
C0971,4,1278450.05,319612.5125,1011.23,57.0,Individual,F,Usa,Colorado,Investment,Yes,Website,5.0,1,Corporate Investors
C0973,4,1595817.16,398954.29,1210.7375000000002,34.0,Individual,M,Usa,California,Investment,No,Client,2.0,2,Global Investors
C0975,3,941310.61,313770.2033333333,1050.08,80.0,Individual,M,Usa,Utah,Home,No,Website,4.0,1,Corporate Investors
C0977,3,944672.95,314890.98333333334,1092.506666666667,30.0,Individual,M,Usa,California,Home,No,Agency,1.0,1,Corporate Investors
C0978,3,1449360.91,483120.3033333334,1526.9566666666667,63.0,Individual,F,Usa,California,Home,Yes,Website,4.0,2,Global Investors
C0982,3,1443503.73,481167.91,1456.36,65.0,Individual,F,Canada,Manitoba,Investment,Yes,Agency,5.0,2,Global Investors
C0984,3,1206529.21,402176.4033333333,1337.1733333333334,64.0,Individual,M,Canada,British Columbia,Home,Yes,Agency,5.0,2,Global Investors
C0993,3,530494.44,176831.47999999998,610.62,72.0,Individual,M,Usa,California,Home,Yes,Website,2.0,1,Corporate Investors
C0996,3,888968.0,296322.6666666667,941.21,70.0,Individual,M,Canada,Manitoba,Home,Yes,Client,2.0,1,Corporate Investors
C0997,3,1607877.07,535959.0233333333,1654.4733333333334,76.0,Individual,M,Usa,California,Investment,Yes,Agency,3.0,2,Global Investors
C0998,4,1230552.15,307638.0375,1053.27,57.0,Company,F,Usa,Virginia,Home,No,Agency,4.0,1,Corporate Investors
C1002,3,1064050.72,354683.5733333333,1052.0866666666668,59.0,Individual,M,Usa,California,Home,No,Website,5.0,1,Corporate Investors
C1003,3,1164909.23,388303.07666666666,1303.7766666666666,49.0,Individual,F,Usa,Nevada,Home,No,Website,2.0,2,Global Investors
C1005,3,778101.6000000001,259367.20000000004,993.0033333333334,38.0,Individual,F,Germany,Hamburg,Home,No,Client,3.0,1,Corporate Investors
C1008,4,1018262.69,254565.6725,849.79,39.0,Company,M,Usa,California,Home,No,Website,2.0,1,Corporate Investors
C1009,3,741160.04,247053.34666666668,971.19,76.0,Individual,F,Usa,Nevada,Investment,Yes,Agency,4.0,1,Corporate Investors
C1010,4,1331479.73,332869.9325,1077.195,62.0,Individual,M,Mexico,Jalisco,Home,No,Website,4.0,1,Corporate Investors
C1014,3,1278106.36,426035.45333333337,1523.6933333333334,57.0,Individual,M,Usa,California,Home,Yes,Website,3.0,2,Global Investors
C1015,3,884426.51,294808.83666666667,973.09,49.0,Individual,M,Usa,California,Home,Yes,Website,4.0,1,Corporate Investors
C1016,4,1542774.61,385693.6525,1214.5625,50.0,Individual,F,Usa,California,Home,Yes,Agency,4.0,2,Global Investors
C1021,4,1554739.9,388684.975,1340.7775,52.0,Individual,M,Usa,California,Investment,No,Client,1.0,2,Global Investors
C1024,3,1351032.92,450344.3066666666,1510.3766666666668,57.0,Individual,M,Usa,Arizona,Investment,No,Agency,2.0,2,Global Investors
C1026,3,1440775.1,480258.3666666667,1452.263333333333,35.0,Individual,M,Usa,California,Investment,No,Agency,1.0,2,Global Investors
C1027,3,1554407.81,518135.9366666667,1649.26,50.0,Individual,M,Usa,California,Investment,Yes,Client,1.0,2,Global Investors
C1028,4,1143826.71,285956.6775,984.12,84.0,Individual,M,Usa,California,Home,Yes,Website,1.0,1,Corporate Investors
